species_name	Kingdom	Phylum	Oblig/Fac	Simple/Complex	SterileCells	SterileProp	Types	Number	Sex	Fission	Fragmentation	GermTime	GermTimeSimp	Type/Number	SomaTypes	Soma/Number	GermNumeric	species_rotl	species_simple_underscores
Lemna minor	Plantae	Tracheophyta	obligate	complex	yes	NA	18	794329	1	1	b	3	adult	2.26606355804711e-05	17	2.1401711381556e-05	2	lemna minor	lemna_minor
Lomandra hermaphrodita	Plantae	Tracheophyta	obligate	complex	yes	NA	36	3.5481e+10	1	1	b	3	adult	1.0146275471379e-09	35	9.86443448606296e-10	2	lomandra hermaphrodita	lomandra_hermaphrodita
Loxosoma saltans	Animalia	Kamptozoa	obligate	complex	yes	NA	16	3549	1	1	Budding	3	adult	0.00450831220061989	15	0.00422654268808115	2	loxosoma saltans	loxosoma_saltans
Lumbricus terrestris	Animalia	Annelida	obligate	complex	yes	NA	57	1e+10	1	0	none	1,2	early	5.7e-09	56	5.6e-09	1	lumbricus terrestris	lumbricus_terrestris
Macrostomum tuba	Animalia	Platyhelminthes	obligate	complex	yes	NA	14	501188	1	0	none	3	adult	2.79336296958427e-05	13	2.59383704318539e-05	2	macrostomum tuba	macrostomum_tuba
Mammillaria elongata	Plantae	Tracheophyta	obligate	complex	yes	NA	27	6.3096e+10	1	1	b	3	adult	4.27919360973754e-10	26	4.12070495752504e-10	2	mammillaria elongata	mammillaria_elongata
Membranoptera subtropica	Plantae	Rhodophyta	obligate	complex	yes	NA	12	6309574	1	1	f	3	adult	1.90187166360201e-06	11	1.74338235830184e-06	2	membranoptera subtropica	membranoptera_subtropica
Mesogloia linearis	Chromista	Ochrophyta	obligate	complex	yes	NA	6	1e+10	1	0	NA	3	adult	6e-10	5	5e-10	2	mesogloia linearis	mesogloia_linearis
Monoclea forsteri	Plantae	Marchantiophyta	obligate	complex	yes	NA	13	3162278	1	1	f&b	3	adult	4.11096051643783e-06	12	3.79473278440415e-06	2	monoclea forsteri	monoclea_forsteri
Morone saxatilis	Animalia	Chordata	obligate	complex	yes	NA	122	2.51e+11	1	0	none	1,2	early	4.8605577689243e-10	121	4.8207171314741e-10	1	morone saxatilis	morone_saxatilis
Mus musculus	Animalia	Chordata	obligate	complex	yes	NA	102	2e+11	1	0	none	1,2	early	5.1e-10	101	5.05e-10	1	mus musculus	mus_musculus
Nais variabilis	Animalia	Annelida	obligate	complex	yes	NA	13	251189	1	1	fission	1,2	early	5.17538586482688e-05	12	4.7772792598402e-05	1	nais variabilis	nais_variabilis
Neomenia carinata	Animalia	Mollusca	obligate	complex	yes	NA	7	1000	1	0	NA	?	NA	0.007	6	0.006	NA	neomenia carinata	neomenia_carinata
Notholca acuminata	Animalia	Rotifera	obligate	complex	yes	NA	13	3163	0	0	None	1	early	0.0041100221308884	12	0.00379386658235852	1	notholca acuminata	notholca_acuminata
Oncorhynchus mykiss	Animalia	Chordata	obligate	complex	yes	NA	116	2.51e+11	1	0	none	1,2	early	4.62151394422311e-10	115	4.58167330677291e-10	1	oncorhynchus mykiss	oncorhynchus_mykiss
Oscillatoria sancta	Bacteria	Cyanobacteria	obligate	simple	yes	NA	2	100	0	1	fission	0	no_germline	0.02	1	0.01	0	oscillatoria sancta	oscillatoria_sancta
Pandorina colemaniae	Plantae	Chlorophyta	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	0.0625	0	0	0	pandorina colemaniae	pandorina_colemaniae
Pandorina morum	Plantae	Chlorophyta	obligate	simple	no	0	1	16	1	0	NA	0	no_germline	0.0625	0	0	0	pandorina morum	pandorina_morum
Pedicellina cernua	Animalia	Kamptozoa	obligate	complex	yes	NA	10	39811	1	1	Budding	3	adult	0.000251186857903594	9	0.000226068172113235	2	pedicellina cernua	pedicellina_cernua
Periplaneta americana	Animalia	Arthropoda	obligate	complex	yes	NA	50	3162277660	1	0	none	1,2	early	1.58113883016838e-08	49	1.54951605356501e-08	1	periplaneta americana	periplaneta_americana
Petermannia cirrosa	Plantae	Tracheophyta	obligate	complex	yes	NA	39	2.5119e+10	1	0	b	3	adult	1.55260957840678e-09	38	1.51279907639635e-09	2	petermannia cirrosa	petermannia_cirrosa
Pinus monophylla	Plantae	Tracheophyta	obligate	complex	yes	NA	30	1e+10	1	0	f?	3	adult	3e-09	29	2.9e-09	2	pinus monophylla	pinus_monophylla
Pisione remota	Animalia	Annelida	obligate	complex	yes	NA	11	44669	1	0	none	1,2	early	0.000246255792607849	10	0.000223868902370772	1	pisione remota	pisione_remota
Platydorina caudata	Plantae	Chlorophyta	obligate	simple	no	0	1	32	1	0	NA	0	no_germline	0.03125	0	0	0	platydorina caudata	platydorina_caudata
Pleodorina californica	Plantae	Chlorophyta	obligate	simple	yes	NA	2	128	1	0	NA	3	adult	0.015625	1	0.0078125	2	pleodorina californica	pleodorina_californica
Pleodorina illinoisensis	Plantae	Chlorophyta	obligate	simple	yes	25	2	32	1	0	NA	3	adult	0.0625	1	0.03125	2	pleodorina illinoisensis	pleodorina_illinoisensis
